11.09.2017;15.2
12.09.2017;14.7
13.09.2017;14.8
14.09.2017;12.0
15.09.2017;11.7
16.09.2017;12.1
17.09.2017;11.4
18.09.2017;11.3
19.09.2017;12.0
20.09.2017;12.9
21.09.2017;14.3
22.09.2017;14.9
23.09.2017;14.4
24.09.2017;13.8
25.09.2017;14.8
26.09.2017;14.5
27.09.2017;16.3
28.09.2017;17.7
29.09.2017;19.2
30.09.2017;14.1
01.10.2017;14.1
02.10.2017;16.0
03.10.2017;12.8
04.10.2017;12.4
05.10.2017;12.2
06.10.2017;10.8
07.10.2017;10.5
08.10.2017;11.6
09.10.2017;10.7
10.10.2017;14.2
11.10.2017;14.6
12.10.2017;13.8
13.10.2017;15.5
14.10.2017;16.8
15.10.2017;17.5
